"category","Birth Date","gender","price","sku","status","sale date"
"aussie",10/20/2016,"M",1900,1176,,
"beag/shiba",7/13/2016,"M",750,1005,,
"boston terrier",10/9/2016,"F",2200,1157,,
"boston terrier",10/17/2016,"M",2200,1178,,
"brussels",7/24/2016,"M",1650,1023,,
"bug",10/4/2016,"M",1900,1144,,
"bug",10/4/2016,"F",1900,1145,,
"cairn",9/9/2016,"F",1700,1106,,
"chihuahua",9/1/2016,"M",1700,1095,"sold",12/29/2016
"cock a poo",9/20/2016,"F",1650,1124,,
"cock a poo",9/20/2016,"F",1650,1125,,
"cocker spaniel",10/3/2016,"F",1750,1154,,
"corgi",7/25/2016,"M",1500,1022,,
"coton",9/1/2016,"M",1700,1093,,
"coton",10/20/2016,"M",1700,1183,,
"coton",10/20/2016,"F",1700,1184,,
"english bulldog",8/11/2016,"F",3150,1036,,
"french bulldog",7/16/2016,"M",3200,1017,,
"french bulldog",8/14/2016,"M",3500,1069,,
"french bulldog",5/30/2016,"M",2950,8381,,
"german sheperd",9/23/2016,"F",2000,1131,,
"german sheperd",10/22/2016,"M",2400,1175,,
"german sheperd",10/20/2016,"F",2400,1187,,
"golden ret",10/10/2016,"F",1900,1158,,
"golden retriever",10/6/2016,"F",1900,1141,,
"golden retriever",9/29/2016,"F",1900,1150,,
"havachon",8/7/2016,"M",1500,1045,,
"havanese",9/8/2016,"M",1700,1112,,
"havanese",9/20/2016,"F",1700,1128,,
"havanese",9/20/2016,"F",1700,1129,,
"havanese",9/29/2016,"F",1700,1137,,
"havanese",10/20/2016,"F",2000,1180,,
"havanese",10/20/2016,"F",2000,1181,,
"havapoo",9/20/2016,"M",1650,1122,,
"havawheat",9/8/2016,"M",1550,1103,,
"jack russel",8/16/2016,"M",1650,1054,,
"jack russel",8/16/2016,"M",1650,1055,,
"lab",9/28/2016,"F",1650,1151,,
"LAB",10/16/2016,"F",1850,1192,,
"LAB",10/16/2016,"F",1850,1193,,
"lhasa poo ",7/2/2016,"M",1600,8400,,
"maltese",10/12/2016,"M",1750,1168,,
"maltese",10/12/2016,"M",1750,1169,,
"malti poo",9/4/2016,"M",1600,1102,,
"malti poo",10/19/2016,"M",1950,1185,,
"malti-shoo",4/15/2016,"M",700,8335,,
"mini am shep",7/30/2016,"F",1500,1026,,
"mini aussie",10/10/2016,"M",1900,1170,,
"peke-a-poo",9/11/2016,"M",1450,1115,,
"pekingese",10/9/2016,"F",1650,1167,,
"pomeranian",7/3/2016,"M",1500,1021,,
"pomeranian",9/26/2016,"F",1850,1148,,
"poodle",9/13/2016,"M",1650,1116,,
"poodle",9/13/2016,"F",1650,1117,,
"pug",10/20/2016,"M",1900,1191,,
"puggle",8/3/2016,"F",1300,1028,,
"puggle",9/19/2016,"F",1550,1127,,
"puggle",10/4/2016,"F",1550,1165,,
"sheltie",8/28/2016,"M",1500,1079,,
"shih poo",9/15/2016,"F",1550,1114,,
"shih poo",10/6/2016,"M",1700,1138,,
"shih poo",10/6/2016,"F",1700,1140,,
"shih poo",10/12/2016,"M",1700,1179,,
"shih tzu",8/8/2016,"M",1450,1068,,
"shih tzu",9/2/2016,"M",1650,1080,,
"shih tzu",9/2/2016,"M",1650,1098,,
"shih tzu",9/2/2016,"M",1650,1099,,
"shih tzu",9/23/2016,"F",1700,1133,,
"shih tzu",10/15/2016,"M",1750,1172,,
"shih tzu",10/15/2016,"M",1750,1173,,
"shih tzu",10/15/2016,"F",1750,1174,,
"shih tzu",10/17/2016,"M",1750,1186,,
"shih-poo",7/17/2016,"M",1450,1014,,
"shih-poo",8/14/2016,"F",1550,1060,,
"Shorky",7/26/2016,"F",1350,1031,,
"sib husky",8/8/2016,"F",1900,1064,,
"siberian husky",8/28/2016,"F",2000,1092,,
"siberian husky",10/5/2016,"M",2100,1146,,
"siberian husky",10/5/2016,"F",2100,1147,,
"siberian husky",10/12/2016,"M",2150,1163,,
"siberian husky",10/12/2016,"F",2150,1164,,
"teddy bear",8/10/2016,"M",1550,1047,,
"teddy bear",9/2/2016,"M",1650,1081,,
"tibetan terrier",10/20/2016,"M",2200,1182,,
"toy aussie",8/4/2016,"F",1650,1041,,
"vizsla",9/8/2016,"M",1950,1110,,
"vizsla",9/8/2016,"F",1950,1156,,
"wheaten",10/12/2016,"M",1900,1159,,
"wheaten",10/12/2016,"M",1900,1160,,
"wheaten",10/12/2016,"F",1900,1161,,
"wheaten",10/12/2016,"F",1900,1162,,
